layer,,,,I1,I2,I3,O1,O2,O3,k1,k2,s1,s2,p1,p2,#Para,gemm,vect,acti
,,ReLU: 3-41,, 512, 7, 7, 512, 7, 7, , , , , , , , , , 25088,
,,Conv2d: 3-42,, 512, 7, 7, 512, 7, 7, 3, 3, 1, 1, 1, 1, 2359296, 115605504, , ,
,,BatchNorm2d: 3-43,, 512, 7, 7, 512, 7, 7, , , , , , , 1024, , 50176, ,
,,Sequential: 3-44,, 256, 14, 14, 512, 7, 7, , , , , , , 132096, , , ,
,,,Conv2d: 4-5, 256, 14, 14, 512, 7, 7, 1, 1, 2, 2, 0, 0, 131072, 6422528, , ,
,,,BatchNorm2d: 4-6, 512, 7, 7, 512, 7, 7, , , , , , , 1024, , 50176, ,
,,ReLU: 3-45,, 512, 7, 7, 512, 7, 7, , , , , , , , , , 25088,
,BasicBlock: 2-8,,, 512, 7, 7, 512, 7, 7, , , 1, , , , 4720640, , , ,
,,Conv2d: 3-46,, 512, 7, 7, 512, 7, 7, 3, 3, 1, 1, 1, 1, 2359296, 115605504, , ,
,,BatchNorm2d: 3-47,, 512, 7, 7, 512, 7, 7, , , , , , , 1024, , 50176, ,
,,ReLU: 3-48,, 512, 7, 7, 512, 7, 7, , , , , , , , , , 25088,
,,Conv2d: 3-49,, 512, 7, 7, 512, 7, 7, 3, 3, 1, 1, 1, 1, 2359296, 115605504, , ,
,,BatchNorm2d: 3-50,, 512, 7, 7, 512, 7, 7, , , , , , , 1024, , 50176, ,
,,ReLU: 3-51,, 512, 7, 7, 512, 7, 7, , , , , , , , , , 25088,
AdaptiveAvgPool2d: 1-9,,,, 512, 7, 7, 512, 1, 1, , , , , , , , , , ,
Linear: 1-10,,,, 512, , , 1000, , , , , , , , , 513000, 513000, , ,
