layer,type,I0_1,I0_2,I0_3,I1_1,I1_2,I1_3,O_1,O_2,O_3,K_1,K_2,S_1,S_2,p_1,p_2,Misc
conv3_block4_2_bn,BatchNormalization,28,28,128,,,,28,28,128,,,,,,,
conv3_block4_2_relu,Activation,28,28,128,,,,28,28,128,,,,,,,
conv3_block4_3_conv,Conv2D,28,28,128,,,,28,28,512,1,1,1,1,0,0,
conv3_block4_3_bn,BatchNormalization,28,28,512,,,,28,28,512,,,,,,,
conv3_block4_add,Add,28,28,512,28,28,512,28,28,512,,,,,,,
conv3_block4_out,Activation,28,28,512,,,,28,28,512,,,,,,,
conv4_block1_1_conv,Conv2D,28,28,512,,,,14,14,256,1,1,2,2,0,0,
conv4_block1_1_bn,BatchNormalization,14,14,256,,,,14,14,256,,,,,,,
conv4_block1_1_relu,Activation,14,14,256,,,,14,14,256,,,,,,,
conv4_block1_2_conv,Conv2D,14,14,256,,,,14,14,256,3,3,1,1,1,1,
conv4_block1_2_bn,BatchNormalization,14,14,256,,,,14,14,256,,,,,,,
conv4_block1_2_relu,Activation,14,14,256,,,,14,14,256,,,,,,,
conv4_block1_0_conv,Conv2D,28,28,512,,,,14,14,1024,1,1,2,2,0,0,
conv4_block1_3_conv,Conv2D,14,14,256,,,,14,14,1024,1,1,1,1,0,0,
conv4_block1_0_bn,BatchNormalization,14,14,1024,,,,14,14,1024,,,,,,,
conv4_block1_3_bn,BatchNormalization,14,14,1024,,,,14,14,1024,,,,,,,
conv4_block1_add,Add,14,14,1024,14,14,1024,14,14,1024,,,,,,,
conv4_block1_out,Activation,14,14,1024,,,,14,14,1024,,,,,,,
conv4_block2_1_conv,Conv2D,14,14,1024,,,,14,14,256,1,1,1,1,0,0,
conv4_block2_1_bn,BatchNormalization,14,14,256,,,,14,14,256,,,,,,,
conv4_block2_1_relu,Activation,14,14,256,,,,14,14,256,,,,,,,
conv4_block2_2_conv,Conv2D,14,14,256,,,,14,14,256,3,3,1,1,1,1,
conv4_block2_2_bn,BatchNormalization,14,14,256,,,,14,14,256,,,,,,,
conv4_block2_2_relu,Activation,14,14,256,,,,14,14,256,,,,,,,
conv4_block2_3_conv,Conv2D,14,14,256,,,,14,14,1024,1,1,1,1,0,0,
conv4_block2_3_bn,BatchNormalization,14,14,1024,,,,14,14,1024,,,,,,,
conv4_block2_add,Add,14,14,1024,14,14,1024,14,14,1024,,,,,,,
conv4_block2_out,Activation,14,14,1024,,,,14,14,1024,,,,,,,
conv4_block3_1_conv,Conv2D,14,14,1024,,,,14,14,256,1,1,1,1,0,0,
conv4_block3_1_bn,BatchNormalization,14,14,256,,,,14,14,256,,,,,,,
conv4_block3_1_relu,Activation,14,14,256,,,,14,14,256,,,,,,,
conv4_block3_2_conv,Conv2D,14,14,256,,,,14,14,256,3,3,1,1,1,1,
conv4_block3_2_bn,BatchNormalization,14,14,256,,,,14,14,256,,,,,,,
conv4_block3_2_relu,Activation,14,14,256,,,,14,14,256,,,,,,,
conv4_block3_3_conv,Conv2D,14,14,256,,,,14,14,1024,1,1,1,1,0,0,
conv4_block3_3_bn,BatchNormalization,14,14,1024,,,,14,14,1024,,,,,,,
conv4_block3_add,Add,14,14,1024,14,14,1024,14,14,1024,,,,,,,
conv4_block3_out,Activation,14,14,1024,,,,14,14,1024,,,,,,,
conv4_block4_1_conv,Conv2D,14,14,1024,,,,14,14,256,1,1,1,1,0,0,
conv4_block4_1_bn,BatchNormalization,14,14,256,,,,14,14,256,,,,,,,
conv4_block4_1_relu,Activation,14,14,256,,,,14,14,256,,,,,,,
conv4_block4_2_conv,Conv2D,14,14,256,,,,14,14,256,3,3,1,1,1,1,
conv4_block4_2_bn,BatchNormalization,14,14,256,,,,14,14,256,,,,,,,
conv4_block4_2_relu,Activation,14,14,256,,,,14,14,256,,,,,,,
conv4_block4_3_conv,Conv2D,14,14,256,,,,14,14,1024,1,1,1,1,0,0,
conv4_block4_3_bn,BatchNormalization,14,14,1024,,,,14,14,1024,,,,,,,
conv4_block4_add,Add,14,14,1024,14,14,1024,14,14,1024,,,,,,,
conv4_block4_out,Activation,14,14,1024,,,,14,14,1024,,,,,,,
conv4_block5_1_conv,Conv2D,14,14,1024,,,,14,14,256,1,1,1,1,0,0,
conv4_block5_1_bn,BatchNormalization,14,14,256,,,,14,14,256,,,,,,,
conv4_block5_1_relu,Activation,14,14,256,,,,14,14,256,,,,,,,
conv4_block5_2_conv,Conv2D,14,14,256,,,,14,14,256,3,3,1,1,1,1,
conv4_block5_2_bn,BatchNormalization,14,14,256,,,,14,14,256,,,,,,,
conv4_block5_2_relu,Activation,14,14,256,,,,14,14,256,,,,,,,
conv4_block5_3_conv,Conv2D,14,14,256,,,,14,14,1024,1,1,1,1,0,0,
conv4_block5_3_bn,BatchNormalization,14,14,1024,,,,14,14,1024,,,,,,,
conv4_block5_add,Add,14,14,1024,14,14,1024,14,14,1024,,,,,,,
conv4_block5_out,Activation,14,14,1024,,,,14,14,1024,,,,,,,
conv4_block6_1_conv,Conv2D,14,14,1024,,,,14,14,256,1,1,1,1,0,0,
conv4_block6_1_bn,BatchNormalization,14,14,256,,,,14,14,256,,,,,,,
conv4_block6_1_relu,Activation,14,14,256,,,,14,14,256,,,,,,,
conv4_block6_2_conv,Conv2D,14,14,256,,,,14,14,256,3,3,1,1,1,1,
conv4_block6_2_bn,BatchNormalization,14,14,256,,,,14,14,256,,,,,,,
conv4_block6_2_relu,Activation,14,14,256,,,,14,14,256,,,,,,,
conv4_block6_3_conv,Conv2D,14,14,256,,,,14,14,1024,1,1,1,1,0,0,
conv4_block6_3_bn,BatchNormalization,14,14,1024,,,,14,14,1024,,,,,,,
conv4_block6_add,Add,14,14,1024,14,14,1024,14,14,1024,,,,,,,
conv4_block6_out,Activation,14,14,1024,,,,14,14,1024,,,,,,,
conv5_block1_1_conv,Conv2D,14,14,1024,,,,7,7,512,1,1,2,2,0,0,
conv5_block1_1_bn,BatchNormalization,7,7,512,,,,7,7,512,,,,,,,
conv5_block1_1_relu,Activation,7,7,512,,,,7,7,512,,,,,,,
conv5_block1_2_conv,Conv2D,7,7,512,,,,7,7,512,3,3,1,1,1,1,
conv5_block1_2_bn,BatchNormalization,7,7,512,,,,7,7,512,,,,,,,
conv5_block1_2_relu,Activation,7,7,512,,,,7,7,512,,,,,,,
